,TF,Target
0,ERG,SCGB1C1
1,MYB,GPR162
2,NOTCH1,CCR10
3,TCF3,FAM20C
4,MAX,AMD1
5,GATA1,LFNG
6,RUNX3,KLRB1
7,TCF3,MYO1G
8,GATA1,PPP1R18
9,E2F1,DAPK2
10,TAL1,ARL15
11,GATA1,DLG5
12,IRF4,CRYM
13,ERG,SMPDL3A
14,GATA1,SLAMF1
15,MAX,ASF1B
16,GATA1,MYB
17,CEBPB,RFXAP
18,IRF4,PGA3
19,CEBPB,IL23A
20,CEBPB,NAALADL1
21,CEBPB,CARD16
22,ERG,CCR10
23,JUND,HEXIM2
24,E2F1,IGSF10
25,RUNX3,EHD1
26,GATA2,AP1G1
27,FOS,CKAP2L
28,EBF1,PMEPA1
29,CEBPB,CKAP2L
30,ETS1,LTBR
31,MAX,NOTCH4
32,TCF3,AC002454.1
33,GATA1,EZR
34,TCF3,GLCCI1
35,TCF3,IL2RA
36,IRF4,BCAT1
37,KLF1,RAB6C
38,GATA1,SKA1
39,MAX,NXPH4
40,KLF1,VAV2
41,MEIS1,HIST1H3H
42,BCL3,AC007880.1
43,ERG,RP3-467K16.4
44,IRF4,SLC2A1
45,ERG,ANKRD9
46,CEBPB,IPP
47,KLF1,DLEU2
48,E2F1,RGS10
49,GATA1,MYZAP
50,E2F1,CPT1C
51,MYB,CRYM
52,MYB,C11orf80
53,NOTCH1,PPCDC
54,GATA1,TIMP3
55,BCL3,LIM2
56,IRF4,IFITM2
57,MYB,AGAP1
58,MAX,CALM2
59,FOS,FBXO30
60,KLF1,BPI
61,SPI1,SMCO4
62,CEBPB,TOX
63,CEBPB,RHOG
64,E2F1,DST
65,ERG,PPCDC
66,MAX,GPR137B
67,NOTCH1,RPS3
68,E2F1,TUBB4B
69,NOTCH1,PLXND1
70,ERG,WASF1
71,EBF1,TCTN1
72,MAX,MEX3B
73,E2F1,VIT
74,EBF1,MYO1B
75,MYB,PROC
76,ERG,S100A11
77,KLF1,CCDC149
78,E2F1,PCDH1
79,E2F1,MND1
80,KLF1,NPEPL1
81,ERG,RPS3
82,ERG,PLXND1
83,ERG,POLR1E
84,TCF3,JUNB
85,ERG,BNC2
86,ETS1,FUCA1
87,E2F1,SPRED1
88,TAL1,C2orf48
89,TAL1,ELMOD1
90,KLF1,C15orf54
91,ERG,HIST1H2BJ
92,ERG,CTSA
93,CEBPB,CTD-2544N14.3
94,ERG,CNPY3
95,GATA1,FGD6
96,E2F1,KIF21A
97,CEBPB,ANKRD55
98,SP1,FOS
99,EBF1,BMF
100,TCF3,AGPAT5
101,KLF1,SMIM24
102,CEBPB,KCNE1
103,ERG,RP11-428G5.5
104,GATA1,ASRGL1
105,TCF3,CSNK1E
