,TF,Target
0,1126,3113
1,2233,1428
2,2349,561
3,3525,1190
4,2087,157
5,1340,1886
6,3077,1837
7,3525,2252
8,1340,2645
9,1063,955
10,3499,252
11,1340,999
12,1717,849
13,1126,3338
14,1340,3236
15,2087,276
16,1340,2233
17,665,2825
18,1717,2519
19,665,1677
20,665,2263
21,665,499
22,1126,561
23,1763,1511
24,1063,1657
25,3077,1086
26,1341,200
27,1288,731
28,1068,2614
29,665,731
30,1139,2015
31,2087,2351
32,3525,23
33,1340,1149
34,3525,1374
35,3525,1679
36,1717,347
37,1825,2764
38,1340,3231
39,2087,2392
40,1825,3847
41,2118,1529
42,355,30
43,1126,3022
44,1717,3270
45,1126,178
46,665,1708
47,1825,997
48,1063,2829
49,1340,2258
50,1063,828
51,2233,849
52,2233,412
53,2349,2632
54,1340,3574
55,355,1910
56,1717,1622
57,2233,115
58,2087,483
59,1288,1227
60,1825,392
61,3382,3327
62,665,3679
63,665,2843
64,1063,1037
65,1126,2632
66,2087,1424
67,2349,3054
68,1063,3783
69,2349,2612
70,1126,3877
71,1068,3535
72,2087,2129
73,1063,3860
74,1068,2248
75,2233,2682
76,1126,3080
77,1825,528
78,1063,2471
79,1063,2174
80,1825,2357
81,1126,3054
82,1126,2612
83,1126,2622
84,3525,1762
85,1126,384
86,1139,1304
87,1063,3399
88,3499,446
89,3499,1093
90,1825,422
91,1126,1527
92,1126,899
93,665,881
94,1126,786
95,1340,1260
96,1063,1807
97,665,176
98,3368,1288
99,1068,381
100,3525,122
101,1825,3329
102,665,1770
103,1126,2963
104,1340,282
105,3525,857
106,1139,1682
107,1340,707
108,1126,3292
109,1340,1951
110,2349,702
111,1063,2209
112,2087,654
113,2233,2355
114,3525,2639
115,1340,549
116,1126,1481
117,1063,1525
118,1288,268
119,1825,541
120,2349,1473
121,1340,1899
122,665,1300
123,2349,511
124,1063,377
125,1126,702
126,665,3208
127,1825,2816
128,2087,1218
129,1288,3208
130,2233,314
131,1139,492
132,1126,739
133,1139,3111
134,1126,1473
135,1126,511
136,1126,1458
137,3077,524
138,1341,59
139,1825,32
140,1063,3156
141,1063,3301
142,3525,3572
143,1288,2918
144,1063,1034
145,1126,472
146,1063,2686
147,2233,3007
148,1063,2939
149,1288,3051
150,2087,1968
151,3525,220
152,1288,2907
153,3525,3483
154,3382,3627
155,1063,3778
156,1126,1048
157,2233,3203
158,1340,2696
159,2349,2005
160,1068,3159
161,3368,613
162,1340,1922
163,1063,3059
164,1288,2490
165,1288,1895
166,1717,2222
167,3525,2257
168,1126,2005
169,1763,3942
170,1825,3386
171,1340,371
172,1063,1194
173,665,557
174,1126,2033
175,665,3832
176,665,2841
177,2233,2265
178,665,481
179,1068,177
180,1825,889
181,1340,2663
182,2233,870
183,2310,1385
184,2087,1684
185,1340,2054
186,3499,20
187,1340,1182
188,1763,3889
189,1139,1880
190,1717,2298
191,2087,3381
192,1340,1631
193,1340,3056
194,1139,302
195,2044,3347
196,665,2391
197,356,153
198,1825,2135
199,1288,442
200,665,442
201,3368,721
202,1068,3671
203,1063,2913
204,1068,2406
205,1063,880
206,3525,154
207,664,2100
208,1717,3856
209,2087,1145
210,1340,475
211,1126,3929
212,3382,1123
213,1341,1451
214,3499,3108
215,1340,1157
216,3525,496
217,665,387
218,665,3309
219,1717,1374
220,1825,2805
221,1825,2971
222,355,3942
223,1126,3551
224,1763,2749
225,1126,324
226,1063,1703
227,1126,1195
228,1068,2021
229,3382,206
230,1825,3855
231,1063,3252
232,665,2626
233,1063,1947
234,3499,1995
235,1063,3543
236,2349,3584
237,2233,2298
238,1126,1315
239,1340,1897
240,665,132
241,3368,3777
242,3368,3151
243,1288,2330
244,1340,303
245,1340,3507
246,1126,217
247,1068,3842
248,3525,820
249,1126,3584
250,1288,1957
251,1976,2653
252,1717,3220
253,1825,1562
254,2087,3388
255,1340,1417
256,1340,3680
257,1063,3899
258,1288,2715
259,665,2715
260,1063,1124
261,1825,973
262,1825,1150
263,2087,1460
264,1825,338
265,1126,2138
266,2233,1665
267,1126,1032
268,1063,2573
269,1063,3696
270,665,3394
271,1288,2366
272,1139,1762
273,2349,3072
274,1126,816
275,2087,2936
276,3499,3301
277,1068,1994
278,1825,2684
279,1063,2239
280,2118,3211
281,3499,1081
282,1126,3072
283,1063,2067
284,3499,2686
285,1126,1310
286,2465,991
287,1825,2620
288,2087,1774
289,1717,3023
290,2087,4
291,1126,3945
292,2233,3220
293,2349,1533
294,1340,1075
295,1763,3834
296,3368,2545
297,1126,2600
298,3368,3332
299,1341,594
300,3525,3112
301,1063,514
302,1340,195
303,3525,3167
304,1288,1283
305,665,1283
306,1340,273
307,1126,1533
308,1063,3838
309,3499,177
310,3525,2370
311,3382,1589
312,1825,263
313,3499,1194
314,2087,3099
315,3368,1135
316,2233,3163
317,1126,1476
318,1340,1337
319,3525,2969
320,2349,2255
321,1288,815
322,1068,1686
323,1825,427
324,1340,2160
325,1126,1670
326,3368,639
327,1825,677
328,1340,2399
329,665,2964
330,3499,3671
331,3499,2406
332,1288,877
333,1763,3576
334,3525,1218
335,1126,2255
336,1063,638
337,1126,529
338,3499,437
339,1288,1556
340,1126,3744
341,1341,1135
342,665,1556
343,1126,626
344,3525,710
345,665,3198
346,2349,3678
347,1825,3139
348,2233,320
349,1126,3963
350,1126,281
351,3525,3835
352,1063,3798
353,1126,1155
354,1068,1209
355,1063,2966
356,1126,3678
357,1139,1694
358,664,2022
359,1126,2239
360,1063,1736
361,1340,3614
362,1825,1093
363,1825,554
364,665,2535
365,1063,3440
366,2233,774
367,1063,1913
368,1068,1736
369,2233,3754
370,3525,1586
371,1068,884
372,1126,1852
373,1825,1731
374,1063,2923
375,3499,1573
376,3077,416
377,3368,3356
378,1068,3525
379,355,937
380,1068,3772
381,665,222
382,1340,1240
383,665,3719
384,1288,3719
385,2087,3067
386,1340,2538
387,1139,3741
388,665,3422
389,1341,1602
390,3499,3899
391,1340,3605
392,1126,3734
393,1063,2899
394,665,3288
395,3368,1301
396,1068,1288
397,1063,701
398,1340,3949
399,1063,59
400,2349,2942
401,1063,128
402,3499,1994
403,1825,955
404,3382,2646
405,2233,2546
406,665,2008
407,1340,2655
408,1717,2351
409,3525,3686
410,665,951
411,3525,3652
412,1825,1657
413,356,969
414,3499,2507
415,3525,1882
416,1340,1824
417,1288,2286
418,665,461
419,1126,3537
420,1063,2301
421,3499,1180
422,665,3148
423,2233,157
424,1340,3797
425,1288,1447
426,2087,659
427,665,1447
428,3499,514
429,1340,2302
430,1340,1873
431,1340,2898
432,2233,276
433,2233,2491
434,2087,1810
435,1717,483
436,3499,906
437,1068,1915
438,2087,3319
439,3499,2796
440,1825,2829
441,3525,3505
442,1825,828
443,2233,3482
444,1126,3031
445,2233,2351
446,1340,2273
447,665,3260
448,3382,3792
449,1063,2558
450,1288,2925
451,2087,1305
452,2233,2904
453,2349,3683
454,1763,2248
455,1825,1037
456,1126,1978
457,1825,3783
458,3077,2885
459,1717,3608
460,665,2985
461,1825,3860
462,1126,3683
463,1340,2956
464,3499,1209
465,1825,2471
466,2087,3549
467,1825,2174
468,1288,758
469,2233,1078
470,1063,2213
471,2233,218
472,1068,1275
473,665,3999
474,2233,483
475,3382,2025
476,2087,2098
477,1126,3204
478,283,2588
479,1068,2213
480,665,270
481,3499,884
482,1063,3563
483,355,1724
484,1126,3634
485,2087,2134
486,2025,2282
487,2349,1809
488,1126,141
489,1288,1846
490,3499,3772
491,2349,1853
492,665,800
493,1825,1807
494,3525,731
495,1288,3012
496,1288,809
497,1340,134
498,665,16
499,665,809
500,1126,1809
501,1825,3780
502,665,2152
503,1126,1853
504,1063,1568
505,1068,394
506,1139,3720
507,1825,1525
508,1126,1320
509,1068,135
510,1717,635
511,3525,538
512,3382,1999
513,3368,66
514,665,911
515,1288,2373
516,3525,1708
517,1288,2984
518,665,2373
519,1825,377
520,1340,1487
521,665,1076
522,2087,3892
523,3499,2615
524,3525,2843
525,1063,2169
526,1063,112
527,1825,3156
528,2349,522
529,665,2352
530,2349,1210
531,1139,3094
532,1340,1601
533,1063,594
534,3368,3166
535,665,3995
536,1341,3835
537,3525,3102
538,1825,2939
539,1063,202
540,3499,2301
541,1825,3778
542,1126,522
543,1126,1210
544,665,648
545,665,432
546,665,2895
547,1340,3109
548,1288,3000
549,1717,1684
550,1063,3170
551,3382,2212
552,1063,1773
553,1063,2545
554,1340,3010
555,1063,2639
556,1825,1194
557,1068,3684
558,1288,1819
559,3525,881
560,1063,27
561,1340,1462
562,1288,2338
563,1126,1046
564,1068,3332
565,2349,3365
566,3525,1770
567,1340,1825
568,1063,1135
569,1126,2601
570,1340,1748
571,2087,2486
572,1288,87
573,1126,3365
574,2044,3110
575,1068,2459
576,665,1812
577,1063,2658
578,3499,3557
579,1340,272
580,1825,2913
581,1063,1211
582,2233,1064
583,1825,880
584,1063,639
585,1068,1432
586,1139,2908
587,1341,2208
588,3525,1840
589,1340,3143
590,2118,3763
591,1063,3483
592,1288,397
593,1825,1703
594,1288,3019
595,1126,1192
596,1063,1937
597,1063,159
598,1340,29
599,1825,3252
600,3499,3563
601,1063,1878
602,1340,660
603,1825,1947
604,1825,3543
605,1717,1359
606,1340,360
607,1063,2994
608,1341,2217
609,1063,2257
610,1288,3339
611,1063,1321
612,665,3339
613,1341,6
614,1340,2778
615,1340,671
616,2087,3044
617,1063,3026
618,1340,3464
619,2465,158
620,1126,548
621,1068,3191
622,3525,2490
623,2233,1599
624,3368,2439
625,1126,408
626,1063,3741
627,1126,3756
628,1288,1850
629,2233,3050
630,1825,1124
631,3525,2841
632,1288,3241
633,665,3241
634,2233,2249
635,1068,1380
636,1126,893
637,3382,1613
638,1825,2573
639,2087,3640
640,2087,501
641,1063,1639
642,2465,1606
643,2349,3004
644,1340,3494
645,3525,2391
646,665,2294
647,2233,983
648,3368,3829
649,3525,442
650,1068,1301
651,1825,2239
652,1825,2067
653,1063,986
654,665,1508
655,1126,3004
656,1340,737
657,3525,387
658,1063,3716
659,1288,792
660,665,3358
661,1063,194
662,1825,514
663,1068,885
664,1063,46
665,2349,675
666,2349,1534
667,3382,2006
668,1063,1395
669,3368,3768
670,1068,2431
671,2233,484
672,2349,2468
673,1288,2644
674,336,2647
675,1068,2549
676,1288,3032
677,1825,184
678,1063,2107
679,665,1618
680,3525,132
681,1126,3255
682,1340,65
683,2233,1774
684,1126,675
685,665,3944
686,1126,1534
687,1340,2066
688,2233,4
689,3077,907
690,1063,1193
691,1288,2916
692,1126,2468
693,3368,3667
694,1288,2906
695,2118,3406
696,1288,3049
697,665,1675
698,665,2781
699,1341,538
