,TF,Target
0,ERG,IRAK2
1,EBF1,S100A4
2,ERG,LINC01503
3,ERG,DTL
4,GATA1,FEZ1
5,CEBPB,SRA1
6,GATA1,PYCARD
7,SPI1,AIF1
8,ERG,RAB30
9,E2F1,FCGRT
10,TCF3,P2RY2
11,TCF3,HEXB
12,ERG,CIB2
13,E2F1,LGALS1
14,KLF1,AC137932.6
15,ETS1,NACC2
16,CEBPB,TBC1D31
17,ETS1,TRIQK
18,MAX,OSBPL1A
19,EBF1,WDR66
20,LMO2,SH2B3
21,CEBPB,DUSP6
22,CEBPB,TYMP
23,ERG,HIST1H3H
24,EBF1,ACBD3
25,CEBPB,OSBPL10
26,KLF1,OAZ1
27,KLF1,GNAZ
28,KLF1,RHOG
29,FOS,RPS18
30,MYB,NRXN2
31,GATA1,CASP3
32,TCF3,H2AFY
33,GATA1,FAM212B
34,TCF3,UHRF1
35,E2F1,CXCL9
36,CEBPB,GLIPR2
37,GATA1,FTL
38,E2F1,GPR20
39,FOS,EFNB2
40,POU2F2,SUSD1
41,CEBPB,LINC01063
42,EBF1,CCDC106
43,GATA3,SUPT3H
44,CEBPB,HIP1
45,KLF1,SLC7A11
46,KLF1,FHL2
47,KLF1,PTRF
48,BCL6,SVIP
49,MYB,AP2S1
50,ERG,PDE6G
51,IRF4,BTN2A2
52,MAX,EPHA2
53,E2F1,MSR1
54,ERG,TSPAN18
55,CEBPB,TRPM4
56,ERG,NRXN2
57,ERG,IL18R1
58,E2F1,RP11-305L7.3
59,FOS,ZNF608
60,E2F1,ADGRG3
61,ETS1,RP11-295G20.2
62,JUND,SRD5A3
63,TCF3,LINC00936
64,TAL1,STXBP6
65,CEBPB,MSANTD3
66,CEBPB,PLK1
67,ERG,AP2S1
68,TCF3,SEC61B
69,GATA1,FAH
70,CEBPB,C18orf8
71,E2F1,ARSB
72,IRF4,CTSA
73,ERG,TOX2
74,ETS1,LINC00869
75,SPI1,CDK6
76,GATA1,AKIRIN2
77,GATA1,TACSTD2
78,MAX,MRAS
79,GATA1,MAP1B
80,CEBPB,TMEM64
81,E2F1,SMKR1
82,JUND,SLC41A2
83,CEBPB,TMCC2
84,ETS1,SLC31A2
85,TAL1,NCAPG
86,GATA1,RP5-1028K7.2
87,FOS,RP11-10A14.5
88,MYB,RGS9
89,ERG,AHI1
90,GATA1,CLCN4
91,KLF1,MFSD7
92,GATA1,COTL1
93,TCF3,LGMN
94,TCF3,IGF2BP3
95,IRF4,SLC31A1
96,GATA1,CPXM1
97,E2F1,ADRBK1
98,GATA1,GMPR
99,GATA1,HIST1H2BJ
100,CEBPB,SYT17
101,TAL1,SCARA5
102,E2F1,CENPW
103,MAX,ADAP2
104,MYB,CTDSPL
105,E2F1,ARSJ
106,ERG,LTBP1
107,TAL1,ATP5J2-PTCD1
108,ERG,ASPM
109,TCF3,PACSIN1
110,CEBPB,GPR68
111,ERG,RGS9
112,TCF3,CCDC106
113,ERG,RP11-354E11.2
114,GATA1,EEF1A1
115,ERG,RP11-24F11.2
116,GATA1,CD63
117,CEBPB,SLC9A7
118,E2F1,LEFTY1
119,MAX,ZGLP1
120,E2F1,DNAJC12
121,CEBPB,CKLF
122,MYB,HRK
123,ERG,GPR162
124,KLF1,CHADL
125,GATA2,NAAA
126,MYB,TUBA8
127,ERG,PHLDA2
128,MYB,ZFAT
129,CEBPB,TMEM107
130,TCF3,PCDH1
