,Gene,index
0,ATF3,652
1,BACH2,769
2,BATF,781
3,BCL11A,798
4,BCL3,806
5,BCL6,807
6,BRCA1,874
7,BTAF1,893
8,CBFB,1171
9,CDK9,1410
10,CEBPA,1431
11,CEBPB,1433
12,CREB1,1754
13,CTCF,1851
14,E2F1,2296
15,EBF1,2304
16,EGR2,2344
17,ERG,2463
18,ERMAP,2471
19,ESRRA,2481
20,ETS1,2487
21,FOS,2792
22,FOXM1,2798
23,FOXP1,2802
24,GATA1,2892
25,GATA2,2893
26,GATA3,2894
27,HDAC1,3216
28,HIF1A,3271
29,IRF3,3659
30,IRF4,3660
31,JUND,3740
32,KLF1,3878
33,LMO2,4173
34,LYL1,4269
35,MAF,4296
36,MAFK,4300
37,MAX,4381
38,MEF2A,4442
39,MEF2C,4443
40,MEIS1,4450
41,MTA3,4688
42,MYB,4737
43,MYC,4741
44,MYH11,4750
45,NCOR2,4852
46,NFE2,4922
47,NOTCH1,4999
48,PAX5,5267
49,PBX3,5273
50,POU2F1,5622
51,POU2F2,5623
52,RBPJ,6043
53,RCOR1,6057
54,RUNX3,6827
55,RXRA,6831
56,SIX5,7123
57,SP1,7427
58,SPI1,7458
59,SPIB,7459
60,SREBF1,7506
61,SRF,7507
62,STAT1,7570
63,STAT4,7572
64,TAL1,7700
65,TCF12,7763
66,TCF3,7764
67,TFAP4,7800
68,USF2,8457
69,VDR,8521
70,ZBTB33,8694
71,ZEB1,8740
